,Company/Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount($),Stage
0,Bombay Shaving,2015.0,Bangalore,E-commerce,Provides a range of male grooming products,Shantanu Deshpande,Sixth Sense Ventures,6300000.0,Unknown Stage
1,Ruangguru,2014.0,Mumbai,Education,"A learning platform that provides topic-based journey, animated videos, quizzes, infographic and mock tests to students","Adamas Belva Syah Devara, Iman Usman.",General Atlantic,150000000.0,Series C
2,Eduisfun,2015.0,Mumbai,Education,It aims to make learning fun via games.,Jatin Solanki,"Deepak Parekh, Amitabh Bachchan, Piyush Pandey",28000000.0,Seed
3,HomeLane,2014.0,Chennai,Lifestyle,Provides interior designing solutions,"Srikanth Iyer, Rama Harinath","Evolvence India Fund (EIF), Pidilite Group, FJ Labs",30000000.0,Later Stage
4,Nu Genes,2004.0,Telangana,Agriculture,"It is a seed company engaged in production, processing and marketing of seeds",Narayana Reddy Punyala,Innovation in Food and Agriculture (IFA),6000000.0,Unknown Stage
5,FlytBase,2015.0,Pune,Technology,A drone automation platform,Nitin Gupta,Undisclosed,6000000.0,Unknown Stage
6,Finly,2015.0,Bangalore,Technology,"It builds software products that makes work simpler, pleasant, and productive","Vivek AG, Veekshith C Rai","Social Capital, AngelList India, Gemba Capital, Omphalos Ventures,  91springboard via Atal Innovation Mission, Niti Aayog.",6000000.0,Unknown Stage
7,Kratikal,2013.0,Noida,Technology,It is a product-based cybersecurity solutions provider,"Pavan Kushwaha, Paratosh Bansal, Dip Jung Thapa","Gilda VC, Art Venture, Rajeev Chitrabhanu.",1000000.0,Pre-series A
8,Quantiphi,2015.0,Bangalore,Technology,It is an AI and big data services company providing business solutions.,Renuka Ramnath,Multiples Alternate Asset Management,20000000.0,Series A
9,Lenskart,2010.0,Delhi,E-commerce,It is a eyewear company,"Peyush Bansal, Amit Chaudhary, Sumeet Kapahi",SoftBank,275000000.0,Later Stage
10,Cub McPaws,2010.0,Mumbai,E-commerce,A B2C  brand that focusses on premium and comfortable merchandise for Generation Alpha  kids,"Abhay Bhat, Kinnar Shah",Venture Catalysts,6000000.0,Unknown Stage
11,Appnomic,2015.0,Bangalore,Technology,"It is a self-healing enterprise, the IT operations software detects, predicts and prevents problems before they happen",D Padmanabhan,Avataar Ventures,22000000.0,Unknown Stage
12,Kaleidofin,2018.0,Chennai,Finance,Platform that provides complete financial solutions for excluded individuals and households,"Puneet Gupta, Sucharita Mukherjee",Oikocredit,5000000.0,Series A
13,JobSquare,2019.0,Ahmedabad,Human Resources,Technology-based platform that is connecting suitable applicants to the right recruiters,Ishit Jethwa,Titan Capital,140500.0,Unknown Stage
14,Open Secret,2015.0,Bangalore,Food & Beverage,It produces and sells top quality snacks,"Ahana Gautam, Udit Kejriwal",Matrix Partners,6000000.0,Unknown Stage
15,LivFin,2017.0,Delhi,Finance,"Grants small business loans, supply chain finance and working capital loans to small and medium enterprises",Rakesh Malhotra,German development finance institution DEG,5000000.0,Unknown Stage
16,Byju's,2011.0,Bangalore,Education,Provides online learning classes,Byju Raveendran,"South Africas Naspers Ventures, the CPP Investment Board",540000000.0,Unknown Stage
17,Zest Money,2015.0,Bangalore,Finance,Uses AI to do risk profiling of e-commerce consumers who opt for EMI,"Chapman, Priya Sharma, Ashish Anantharaman",Goldman Sachs.,15000000.0,Series B
18,Witblox,2014.0,Bangalore,Education,Offers a range of robotics learning tools,Amit Modi,Mumbai Angels Network,182700.0,Unknown Stage
19,Azah Personal Care Pvt. Ltd.,2018.0,Gurugram,Health,Aims to solve some problems in the feminine hygiene sector,"Mohammed, Shashwat Diesh","Kunal Bahl, Rohit Bansal.",6000000.0,Pre-series A
20,SalaryFits,2015.0,Bangalore,Finance,A platform that promotes financial well-being of employees at workplace,Renato Araujo,Brazilian VC Fund Confrapar,5000000.0,Unknown Stage
21,Pristyn Care,2018.0,Bangalore,Health,Delivers advanced medical care & clinical excellence aided by next-level technology,"Harsimarbir Singh, Dr Vaibhav Kapoor, Dr Garima Sawhney","Sequoia India, Hummingbird Ventures, Greenoaks Capital, AngelList.",12000000.0,Series B
22,Springboard,2013.0,Bangalore,Education,Offers online courses and extensive mentor-based learning,"Gautam Tambay, Parul Gupta",Reach Capital,11000000.0,Later Stage
23,DROR Labs Pvt. Ltd,2018.0,Delhi,Technology,It uses technology to create a trust-based network of responsible citizens to ensure safety,"Dhiraj Naubhar, Dheeraj Bansal",Inflection Point Ventures,6000000.0,Unknown Stage
24,Medlife,2014.0,Bangalore,Health,It solves inadequacies in the healthcare delivery system through technology,"Tushar Kumar, Prashant Singh",Wilson Global Opportunities Fund,15500000.0,Unknown Stage
25,Seekify,2019.0,Delhi,Technology,Customer Experience (CX) Automation platform,"Arihant Jain, Ajeet Kushwaha",Sequoia Capita,1500000.0,Seed funding
26,Toffee Insurance,2017.0,Haryana,Finance,Provides variety of insurance plans and policies,"Nishant Jain, Rohan Kumar",IVM Intersurer,5500000.0,Series A
27,Fireflies .ai,2015.0,Bangalore,Technology,Developer of an artificial intelligence-powered assistant for businesses,Sam Udotong,Canaan Partners,5000000.0,Unknown Stage
28,HungerBox,2015.0,Bangalore,Food & Beverage,"Offers B2B tech platform to corporates, aimed at improving the operations of their cafeterias","Sandipan Mitra, Uttam Kumar","Paytm, Asian VC fund NPTK, Sabre Partners, Neoplux.",12000000.0,Series C
29,Bijak,2019.0,Bangalore,Agriculture,B2B platform for agricultural commodities.,"Nukul Upadhye, Mahesh Jakhotia, Jitender Bedwal, Daya Rai, Nikhil Tripathi","Omnivore and Omidyar Network India, Sequoia Capital",2500000.0,Seed
30,Licious,2015.0,Bangalore,Food & Beverage,Online meat shop,"Vivek Gupta, Abhay Hanjura",Vertex Growth Fund,30000000.0,Later Stage
31,truMe,2015.0,Bangalore,Technology,A global platform for Identity and Access Management,"Babu Dayal, Pramod Uniyal, Lalit Mehta",Rajan Kaistha,140000.0,Unknown Stage
32,Pumpkart,2014.0,Chandigarh,E-commerce,B2B model for appliances and electrical products,KS Bhatia,Dinesh Dua,6000000.0,Unknown Stage
33,Asteria Aerospace,2011.0,Bangalore,Technology,"Develops drones that are used by the military, paramilitary, police forces and in various industries.","Neel Mehta, Nihar Vartak",Reliance Industries,230000000.0,Unknown Stage
34,Rivigo,2014.0,Bangalore,Transportation & Logistics,"It offers delivery services across India to retail, e-commerce, pharmaceutical, automobile and FMCG companies","Deepak Garg, Gazal Kalra","SAIF Partners India VI Ltd, Spring Canter Investment Ltd",20000000.0,Later Stage
35,HappyEasyGo,2017.0,Gurugram,Hospitality,Online flight booking,"Vivek Prabhakar, Boris Zha","Korea Investment Partners (KIP), Samsung Venture Investment Corporation (SVIC), UOB Venture, 10 Fund, CVCapital, Zero2IPO Ventures, M&S Partners",49400000.0,Series B
36,Zetwerk,2018.0,Bangalore,Manufacturing,Provides facilities to get products manufactured.,"Amit Acharya, Srinath Ramakkrushnan","Lightspeed and Greenoaks Capital, Sequoia India, Accel and Kae Capital",32000000.0,Series B
37,Observe.AI,2015.0,Bangalore,Technology,Creates a voice AI platform,Swapnil,Scale Venture Partners,26000000.0,Series A
38,Freshokartz,2016.0,Jaipur,E-commerce,Online fruits and vegetables delivery company,Rajendra Lora,ThinkLab,150000.0,Pre-series A
39,Lil Goodness and sCool meal,2015.0,Bangalore,Food & Beverage,It empowers moms to provide the best of foods to their Lil' ones,Unknown,"Sajan Pillai, Muthu Krishnan,",400000.0,Unknown Stage
40,Trell,2016.0,Bangalore,Technology,Blogging platform that enables people to create visual collections of their travel and local experiences,"Pulkit Agrawal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba","Ruizheng Investment, Tej Kapoor, Krinshavataram Venkata Vinjamuri, Harsh Shah",2000000.0,Pre-series A
41,VMate,2015.0,Bangalore,Technology,A short video platform,Unknown,Alibaba,100000000.0,Unknown Stage
42,Bombay Shirt Company,2012.0,Mumbai,E-commerce,Online custom shirt brand,Akshay Narvekar,Lightbox Ventures,8000000.0,Unknown Stage
43,Slintel,2016.0,Bangalore,Technology,"It helps sales and marketing teams understand purchase intent of buyers on buying patterns, usage and renewals",Deepak Anchala,Stellaris Ventures,1500000.0,Unknown Stage
44,MyGameMate,2015.0,Bangalore,Sports,eSports platform where players can access various multiplayer mobile games to participate in online tournaments,Parshavv Jain& Raju Kushwaha,"Jindagi Live Angels,",100000.0,Unknown Stage
45,Afinoz,2015.0,Noida,Finance,Online financial marketplace for customized rate quotes on loans and investment products in India,Rachna Suneja,Fintech innovation lab,6000000.0,Unknown Stage
46,Rein Games,2015.0,Noida,Technology,"It develops, publishes and distributes games across various platforms","Vaibhav Gupta, Himanshu Devra, Pranav Chaudhary, Nishtha Gupta","Manipal Education and Medical Group (MEMG) family office, Titan Capital",50000000.0,Pre-series A
47,Ecozen,2015.0,Pune,Agriculture,It develops technology-enabled products to strengthen the farm-to-fork value chain of perishables.,"Devendra Gupta, Prateek Singhal, Vivek Pandey",Innovation in Food & Agriculture Fund (IFA Fund),6000000.0,Series A
48,Box8,2011.0,Mumbai,Food & Beverage,Enables to order food online,"Amit Raj, Anshul Gupta",Trifecta Capital,120000000.0,Unknown Stage
49,Awign Enterprises,2016.0,Bangalore,Human Resources,It supplies workforce to the economy,"Annanya Sarthak, Gurpreet Singh, Praveen Sah","Work10M, Michael and Susan Dell Foundation, Eagle10, Unitus Ventures.",4000000.0,Series A
50,Purplle,2012.0,Mumbai,Lifestyle,Online makeup and beauty products retailer,"Manish Taneja, Rahul Dash",Goldman Sachs,30000000.0,Series C
51,Freightwalla,2017.0,Mumbai,E-commerce,Provides digital platform for businesses to plan and manage their international freight shipments online,"Sanjay Bhatia, Bharat Tanvi, Punit Java","Amplo, FJ Labs, Rogue One Capital",4000000.0,Series A
52,TapChief,2016.0,Bangalore,E-commerce,It connects individuals in need of advice in a specific domain to individuals who have expertise in the same,"Shashank Murali, Binay Krishna, Arjun Krishna",Blume Ventures.,1500000.0,Pre-series A
53,eJOHRI,2015.0,Mumbai,Lifestyle,Omnichannel marketplace for gems and jewellery,"Jignesh Mehta, Shailen Mehta",Rajesh Ranavat,1000000.0,Pre-series A
54,Ninjacart,2015.0,Bangalore,E-commerce,"It connects producers of food directly to retailers, restuarants and service providers.","Thirukumaran Nagarajanin, Vasudevan Chinnathambi","Walmart, Flipkart",6000000.0,Unknown Stage
55,Binca Games,2014.0,Mumbai,Sports,It offers games that are available across India and UK.,"Rubianca Wadhwa, Sahil Wadhwa",Sunil Gavaskar,6000000.0,Unknown Stage
56,KredX,2015.0,Bangalore,Finance,Invoice discounting platform,Manish Kumar,Tiger Global Management,26000000.0,Series B
57,m.Paani,2015.0,Mumbai,Technology,It digitizes and organises local retailers,Akanksha Hazari,"AC Ventures, Henkel",5500000.0,Series A
58,Origo,2010.0,Gurugram,Agriculture,It provides post-harvest management services for agricultural commodities,"Mayank Dhanuka, Sunoor Kaul","Oikocredit, Caspian SME Impact Fund IV,  Triodos Investment Management",6800000.0,Unknown Stage
59,WishADish,2015.0,Delhi,Food & Beverage,Provides management solution for restaurants,"Sawan Kumar, Bhavya Bhambhani",Undisclosed,6000000.0,Unknown Stage
60,Ecom Express,2012.0,Gurugram,Transportation & Logistics,It is a technology enabled logistics solutions provider to the Indian e-commerce industry,"Krishnan, Manju Dhawan, K Satyanarayana, Sanjeev Saxena",CDC Group,36000000.0,Unknown Stage
61,Stanza Living,2017.0,Delhi,Hospitality,Provides comfortable and secure accomodation for students,"Sandeep Dalmia, Anindya Dutta",Alteria Capital,5700000.0,Unknown Stage
62,PiBeam,2015.0,Chennai,Transportation & Logistics,It is engaged in building sustainable and affordable micro-mobility electric vehicles,Visakh Sasikumar,GAIL (India) Ltd,50000000.0,Unknown Stage
63,Euler Motors,2015.0,Delhi,Transportation & Logistics,It is offering mobility as a service,Saurav Kumar,"Blume Ventures, Emergent Ventures",2000000.0,Unknown Stage
64,Moms Co,2015.0,New Delhi,E-commerce,It is into mother and baby care-focused consumer goods,Malika Sadani,"Saama Capital, DSG Consumer Partners",5000000.0,Series B
65,Cubical Labs,2013.0,Bangalore,Technology,Home automation solution provider,"Dhruv Ratra, Swati Vyas",Rockstud Capital,6000000.0,Series B
66,Lawyered,2015.0,Delhi,Technology,It helps to connect to legal advise online,"Ashish Bhatia, Himanshu Gupta","Pramendra Tomar, Ratish Pandey, Munish Bhatia, Sumit Aggarwal",100000.0,Unknown Stage
67,Cuemath,2013.0,Bangalore,Education,It helps students to learn math online,Manan Khurma,"Manta Ray Ventures Limited, Googles Capital G, Sequoia India.",5500000.0,Unknown Stage
68,Licious,2015.0,Bangalore,Food & Beverage,Online meat shop,"Vivek Gupta, Abhay Hanjura",Vertex Ventures,25000000.0,Later Stage
69,Nivesh.com,2016.0,Noida,Finance,The platform simplifies the process of investment,"Anurag Garg, Sridhar Srinivasan",Windrose Capital,600000.0,Unknown Stage
70,Zebu,2015.0,Bangalore,Technology,"Platform uses encryption technology to allow businesses to safely store files, invoices, and schedules",Team of Waterloo-based software developers,Undisclosed,4000000.0,Seed
71,Smart Institute,2015.0,Surat,Education,A platform to learn online,Unknown,HNI investors,1500000.0,Unknown Stage
72,CarDekho,2008.0,Jaipur,Transportation & Logistics,Enables people to buy and sell new/old cars.,Amit Jain,"Ping An Global Voyager Fund, Hillhouse Capital, Sequoia Capital",70000000.0,Later Stage
73,Shadowfax,2015.0,Bangalore,Transportation & Logistics,A platform for delivery services,"Abhishek Bansal, Vaibhav Khandelwal","Flipkart, Eight Roads Ventures, NGP Capital, Qualcomm Ventures, Mirae Asset Naver Fund, World Bank-backed IFC",60000000.0,Later Stage
74,Credr,2014.0,Mumbai,Transportation & Logistics,A marketplace to buy and sell used bikes and scooters,Mittal,"Omidyar Network, Eight Roads Ventures, GrowthStory, AngelList",6000000.0,Unknown Stage
75,Sportido,2015.0,Noida,Sports,It is a sports discovery app that helps to find people and places to play 700+ sports,"Neeraj Aggarwala, Akhil Ramachandran","Inflection Point Ventures, SucSEED Venture Partners.",6000000.0,Series B
76,Phable,2018.0,Bangalore,Health,"It creates an engagement loop between doctors, hospitals, and patients via its app",Sumit Sinha,"LetsVenture, 91 Springboard, IKP Knowledge, Angel investors, AbInbev-Serge DeVos, Wouter Peeters.",220000.0,Unknown Stage
77,Sarva,2015.0,Chennai,Lifestyle,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,Sarvesh Shashi,"Venture fund, Fireside Ventures.",2800000.0,Unknown Stage
78,IndyFint,2019.0,Bangalore,Finance,"It helps lenders to directly provide short-term loans to merchants, employees, and students",Paddy Padmanabhan,Saravanan Adiseshan,2100000.0,Series A
79,Zolostays,2015.0,Bangalore,Hospitality,It offers affordable housing apartments to young professionals and students,"Akhil Sikri, Nikhil Sikri, Sneha Choudhry",Trifecta Capital,7000000.0,Unknown Stage
80,Ola,2010.0,Bangalore,Transportation & Logistics,It enables one to book cab online,"Bhavish Aggarwal, Ankit Bhati","Kia Motors, Hyundai",311000000.0,Unknown Stage
81,Zoomcar,2013.0,Bangalore,Transportation & Logistics,A car rental service platform,"Greg Moran, David Back",Zoomcar Inc,4800000.0,Unknown Stage
82,Kratikal,2015.0,Uttar pradesh,Technology,Provides cyber security solutions,Pavan Kushwaha,"Gilda VC, Art Venture, Rajeev Chitrabhanu",1000000.0,Pre-series A
83,Froogal,2015.0,Hyderabad,Marketing and Advertising,A cloud based Customer Loyalty & Engagement Platform,"Jeevan Chowdary M, Harshit Harchani",US-based angel investors,1000000.0,Pre-series A
84,Infra.Market,2015.0,Mumbai,Technology,"It connects client requirements to their supply chain infrastructure for ease of ordering, tracking and manufacturing","Aaditya Sharda, Souvik Sengupta","Tiger Global, Nexus Venture Partners, Accel Partners, Dhruv Agarwala",20000000.0,Series A
85,Oyo,2013.0,Gurugram,Hospitality,Provides rooms for comfortable stay,Ritesh Agarwal,"MyPreferred Transformation, Avendus Finance, SoftBank",693000000.0,Unknown Stage
86,GoMechanic,2016.0,Delhi,Technology,Find automobile repair and maintenance service providers,"Amit Bhasin, Kushal Karwa, Nitin Rana, Rishabh Karwa",Sequoia Capital,5000000.0,Series B
87,Spinny,2015.0,Delhi,Transportation & Logistics,Online car retailer,"Niraj Singh, Ramanshu Mahaur, Ganesh Pawar, Mohit Gupta","Norwest Venture Partners, General Catalyst, Fundamentum, Accel Partners",50000000.0,Unknown Stage
88,Ess Kay Fincorp,2015.0,Rajasthan,Finance,Organised Non-Banking Finance Company,Rajendra Setia,"TPG, Norwest Venture Partners, Evolvence India",33000000.0,Unknown Stage
